건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
익산시정신건강복지센터,건강증진,전라북도 익산시 무왕로 975,,35.96098753,126.9664376,"정신건강증진사업, 아동청소년 정신보건사업, 자살예방사업",09:00,18:00,토+일+공휴일,,1,1,8,,심리상담사(1),,063-841-4235,,,익산시 보건소,2022-03-09,4680000,전라북도 익산시
진산요양원,정신보건,전라남도 나주시 노안면 노안삼도로 507-22,전라남도 나주시 노안면 오정리 301-28,35.089994,126.6945442,정신요양시설운영,09:00,18:00,일+공휴일,,1,5,11,1,관리인(1)+간호조무사(1)+위생원(1)+조리원(3)+작업지도원(1)+안전관리요원(1)+사무원(3)+정신보건전문요원(2),상담후 결정,061-336-1911,진산요양원,062-608-3283,광주광역시 동구보건소,2022-08-11,3590000,광주광역시 동구
빛고을정신요양원,정신보건,전라남도 나주시 다도면 다도로 287-22,전라남도 나주시 다도면 송학리 990-3,34.98546561,126.8276577,정신요양시설운영,09:00,18:00,일+공휴일,,1,7,22,1,관리인(1)+간호조무사(3)+위생원(2)+조리원(5)+안전관리요원(1)+사무원(2),상담후 결정,061-337-3427,빛고을정신요양원,062-608-3283,광주광역시 동구보건소,2022-08-11,3590000,광주광역시 동구
광주동구정신건강복지센터,정신보건,광주광역시 동구 서남로 14,광주광역시 동구 서석동,35.1449509557,126.9231629766,정신 건강예방서비스,09:00,18:00,일+공휴일,,1,5,8,0,,상담후 결정,062-233-0468,광주동구정신건강복지센터,062-608-3282,광주광역시 동구보건소,2022-08-11,3590000,광주광역시 동구
광주동구중독관리통합지원센터,정신보건,"광주광역시 동구 구성로 190, 2층","광주광역시 동구 금남로5가 183-1, 2층",35.152598,126.913948,중독자 등록관리+중독예방사업,09:00,18:00,일+공휴일,330.51,0,2,6,0,,상담후 결정,062-222-5666,광주동구중독관리통?d지원센터,062-608-3284,광주광역시 동구보건소,2022-08-11,3590000,광주광역시 동구
정신건강복지센터,정신보건,경상북도 경산시 남매로 158,경상북도 경산시 중방동 708-5,35.82511247,128.7432823,정신건강증진사업 및 자살예방사업,09:00,18:00,토+일+공휴일,151,1,2,4,0,4,www.gsmind.or.kr,053-816-7190,세명병원,053-810-6383,경상북도 경산시보건소,2022-06-10,5130000,경상북도 경산시
단양군 CCTV통합관제센터 체력단련실,건강증진,충청북도 단양군 단양읍 별곡1로 17,충청북도 단양군 단양읍 별곡리 311,36.98473681,128.3674437,체력단련실,06:00,21:00,코로나19 종료 시 연중무휴,,0,5,2,0,1,043-420-3277+043-420-3255+043-420-3227,043-420-3277,충청북도 단양군 보건소,043-420-3277,충청북도 단양군 보건소,2022-06-15,4480000,충청북도 단양군
성정건강생활지원센터,건강증진,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,36.8197764,127.1398813,만성질환관리+영양관리+운동관리+구강관리,09:00,18:00,토+공휴일,825,0,1,0,0,2,0,041-521-2584,성정건강생활지원센터,041-521-2584,충청남도 천안시 서북구보건소,2022-06-13,4490000,충청남도 천안시
옥천군보건소 건강증진센터,건강증진,충청북도 옥천군 옥천읍 삼양로8길 10,충청북도 옥천군 옥천읍 삼양리 161-45,36.30448958,127.5697187,건강증진사업,09:00,18:00,토+일+공휴일,258,2,14,0,2,15,,043-730-2121,충청북도옥천군보건소,043-730-2121,충청북도 옥천군 보건소,2022-05-31,4430000,충청북도 옥천군
대구광역시 중구정신건강복지센터,정신보건,대구광역시 중구 태평로 45,대구광역시 중구 태평로3가 174-1 중구보건소 3층,35.87790606,128.583346,중증정신질환자 관리 및 아동청소년 정신건강 서비스+ 지역주민 정신건강증진+ 자살예방 및 위기대응,09:00,18:00,토요일+일요일+공휴일,132.6,1,0,10,0,정신건강임상심리사(3),주말+야간 정신건강상담전화 1577-0199,053-256-2900,경북대학교병원,053-661-3853,대구광역시 중구보건소,2022-06-07,3410000,대구광역시 중구
구례군 보건의료원 건강증진센터,건강증진,전라남도 구례군 구례읍 동편제길 30,전라남도 구례군 구례읍 백련리 576,35.216048,127.4617801,운동상담+영양상담+금연상담+대사증후군 관리+물리치료실+모바일 헬스케어 관리,09:00,18:00,토+일+공휴일,978.19,0,3,0,1,물리치료사(2)+운동처방사(1),,061-780-2017,전라남도 구례군 보건의료원,061-780-2017,전라남도 구례군청,2022-06-08,4870000,전라남도 구례군
대구수성구정신건강복지센터,정신보건,대구광역시 수성구 수성로 213,대구광역시 수성구 중동 266-5,35.844919,128.6119385422,중증정신질환자관리사업+아동청소년정신보건사업+자살예방사업+정신건강증진사업,09:00,18:00,토+일+공휴일,324,1,5,9,0,임상심리사(5),,053-756-5860,수성중동병원,053-666-3158,대구광역시 수성구보건소,2022-06-15,3460000,대구광역시 수성구
대구수성구보건건강생활지원센터,건강증진,대구광역시 수성구 욱수천로 99,대구광역시 수성구 신매동 170-2,35.8369885032,128.7128212323,대사증후군관리+영양+구강+금연+운동+방문건강+모자보건사업,09:00,18:00,토+일+공휴일,934.09,1,5,0,2,0,,053-666-3163,,053-666-3163,대구광역시 수성구보건소,2022-06-15,3460000,대구광역시 수성구
경상북도영주시보건소정신건강복지센터,정신보건,경상북도 영주시 영주로159번길 73,경상북도 영주시 영주동 479-1,36.82876293,128.6159883,통합정신건강증진사업+자살예방사업+중증정신질환 등록관리,09:00,18:00,토+일+공휴일,1255.89,0,4,2,0,심리상담사1,,054-639-5728,경상북도 영주시 보건소,054-631-4000,경상북도 영주시 보건소,2022-06-13,5090000,경상북도 영주시
송광정신재활센터,정신보건,광주광역시 광산구 우산로 17,,35.15982359,126.8041452,정신질환자 재활프로그램 운영 및 사회복귀 도모,09:00,18:00,매주토요일+매주일요일+공휴일,129.14,0,0,3,0,0,정원:20명,062-841-8250,송광정신재활센터,062-960-8981,광주광역시 광산구 보건소,2022-06-16,3630000,광주광역시 광산구
광주동구치매안심센터,정신보건,"광주광역시 동구 서남로 14, 7층","광주광역시 동구 서석동 29, 7층",35.14495096,126.923163,치매예방관리,09:00,18:00,일+공휴일,610.34,1,9,0,0,임상심리사(1)+물리치료사(1)+작업치료사(2)+행정(1),상담후 결정,062-608-3490,광주동구치매안심센터,062-608-3490,광주광역시 동구보건소,2022-08-11,3590000,광주광역시 동구
지원건강생활지원센터,건강증진,"광주광역시 동구 지원로 31-9, 2층","광주광역시 동구 소태동 486-1, 2층",35.125318,126.9351766550,만성질환예방 및 관리사업+신체활동+영양+비만+재활+건강체험관 운영,09:00,18:00,토+일+공휴일,600.87,0,2,0,1,물리치료사(1)+임상병리사(1),사전 전화 예약 후 상담,062-608-3950,지원건강생활지원센터,062-608-3950,광주광역시 동구보건소,2022-08-11,3590000,광주광역시 동구
강북구민건강관리센터(삼각산분소),건강증진,서울특별시 강북구 삼양로19길 154,서울특별시 강북구 미아동 1353-8,37.6170482,127.015605,호흡기환자진료센터+건강운동지원실 운영+어린이체험관 운영,09:00,18:00,공휴일,1492,1,1,0,1,운동처방사(2),,02-901-4801,강북구보건소,02-901-7615,강북구보건소,2022-08-17,3080000,서울특별시 강북구
노원구정신건강복지센터,정신보건,서울특별시 노원구 노해로 455,서울특별시 노원구 상계동 709 인산빌딩 5층,37.65416667,127.0585199,정신질환자 등록관리,09:00,18:00,토+일+공휴일,276.43,0,3,15,0,,음주 문제 상담 불가,02-2116-4591,서울특별시 노원구,02-2116-4357,서울특별시 노원구 보건소,2022-08-16,3100000,서울특별시 노원구
남해군정신건강복지센터,정신보건,경상남도 남해군 남해읍 선소로 6,경상남도 남해군 남해읍 차산리 645-1,34.84474988,127.8987857,"중증정신질환자관리, 주간재활프로그램운영",09:00,18:00,토+일+공휴일,307.55,0,5,4,0,0,,055-860-8785,남해군보건소,055-860-8785,남해군 보건소,2022-03-29,5430000,경상남도 남해군
수서동건강증진센터,건강증진,서울특별시 강남구 밤고개로1길 52,서울특별시 강남구 수서동718,37.48900105,127.1052745,"대사증후군관리,만성질환관리",09:00,18:00,매주토요일+매주일요일+공휴일,40,0,2,0,0,0,검사전날밤10시부터 금식 요망,02-3423-8773,강남구 보건소,02-3423-7111,강남구 보건소,2022-03-25,3220000,서울특별시 강남구
세곡동건강증진센터,건강증진,서울특별시 강남구 밤고개로 286,서울특별시 강남구 율현동 278-1,37.4690094,127.1069041,"대사증후군관리,만성질환관리,고혈압,당뇨 교육",09:00,17:00,매주토요일+매주일요일+공휴일,12,0,1,0,0,0,검사전날밤11시부터 금식 요망,02-3423-8688,강남구 보건소,02-3423-7112,강남구 보건소,2022-03-25,3220000,서울특별시 강남구
효성건강생활지원센터,건강증진,인천광역시 계양구 봉오대로543번길 21,인천광역시 계양구 효성동 85,37.532549,126.7086103178,"만성질환등록관리, 교육 프로그램 운영, 기타서비스제공(금연클리닉, 불소용액 배부, 모자보건 상담 등)",09:00,18:00,토요일+일요일+공휴일,,0,3,0,1,생활체육지도자(1),콜레스테롤검사시 예약 필수,032-430-7793,효성건강생활지원센터,032-430-7801,인천광역시 계양구 보건소,2022-03-25,3550000,인천광역시 계양구
강서구정신건강복지센터,정신보건,"서울특별시 강서구 공항대로 561, B1층","서울특별시 강서구 염창동 275-12, B1층",37.54964994,126.8682802,"중증정신질환관리, 정신건강상담, 자살예방, 알코올중독예방 등",09:00,18:00,토+일+공휴일,238,1,0,14,0,임상심리사(2)+작업치료사(1),상담 전 예약 요망,02-2600-5926,아름다운미래의원,02-2600-5271,서울특별시 강서구 보건소,2022-03-14,3150000,서울특별시 강서구
호평건강생활지원센터,건강증진,경기도 남양주시 호평로68번길 21,경기도 남양주시 호평동 669번지,37.65456666,127.2489491,만성질환 예방관리+건강생활실천 상담+교육프로그램 운영,09:00,18:00,매주토요일+매주일요일+공휴일,253,0,1,0,0,1,,031-590-8084,,,경기도 남양주보건소,2022-03-31,3990000,경기도 남양주시
화도건강생활지원센터,건강증진,경기도 남양주시 화도읍 비룡로 59,경기도 남양주시 화도읍 마석우리 548번지,37.65784817,127.3007103,만성질환 예방관리+건강생활실천 상담+교육프로그램 운영,09:00,18:00,매주토요일+매주일요일+공휴일,825,0,1,0,1,1,,031-590-8434,,,경기도 남양주보건소,2022-03-31,3990000,경기도 남양주시
군포시정신복지센터(부설)자살예방센터,정신보건,경기도 군포시 군포로 221,경기도 군포시 부곡동 770-1,37.3330901,126.9254149,"만성정신장애인 관리, 정신건강사업, 주간재활 프로그램운영, 자살예방사업, 아동청소년정신건강사업,생명존중 및 노인자살예방사업",09:00,18:00,토+일+공휴일,885.03,1,4,19,,,,031-461-1771,학교법인 일송학원 한림대학교성심병원,031-390-8944,경기도 군포시보건소,2022-04-13,4020000,경기도 군포시
중랑구정신건강복지센터,정신보건,서울특별시 중랑구 면목로 238,서울특별시 중랑구 면목동 378-4,37.5739185,127.0851055,중증정신질환자 등록 및 사례관리아동청소년 정신건강사업정신장애인 재활프로그램 운영정신건강상담,09:00,18:00,매주토요일+매주일요일+공휴일,316.9,1,2,13,0,2,,02-2276-7000,서울특별시 서울의료원,02-2094-0853,서울특별시 중랑구 보건소,2022-03-31,3060000,서울특별시 중랑구
인제군 정신건강증진센터,정신보건,강원도 인제군 인제읍 인제로 140번길 34,,38.06327706,128.1685854,"정신건강증진센터운영(정신장애인 사회재활, 아동청소년 정신보건사업) 및 자살예방사업",09:00,18:00,매주토요일+매주일요일+공휴일,101,1,3,2,0,0,,033-461-2425,인제군보건소,033-461-2122,강원도 인제군 보건소,2022-09-27,4330000,강원도 인제군
울산중구정신건강복지센터,정신보건,울산광역시 중구 외솔큰길 225,"울산광역시 중구 남외동 603-2, 중구보건소 3층",35.569483,129.350445,중증정신건강사업+자살예방사업+아동 청소년 정신건강증진사업,09:00,18:00,토요일+일요일+공휴일,330,1,1,8,0,임상심리사(4),,052-292-2900,사람이 소중한 병원,052-290-4361,울산광역시 중구보건소,2022-09-16,3690000,울산광역시 중구
이천시정신건강복지센터,정신보건,경기도 이천시 이섭대천로 1119(증일동) 2층,경기도 이천시 증일동 2,37.27052428,127.4454563,정신건강증진+아동청소년정신건강증진사업+자살예방사업,09:00,18:00,토+공휴일,417.99,1,4,15,0,임상심리사(1)+작업치료자(2),직접내소+전화상담,031-637-2330,이천소망병원,031-644-4086,경기도 이천시청,2022-09-27,4070000,경기도 이천시
산청군 정신건강복지센터,정신보건,경상남도 산청군 산청읍 중앙로 97,경상남도 산청군 산청읍 지리 797,35.41608206,127.8842381,정신건강사업+자살예방사업,09:00,18:00,매주토요일+매주일요일+공휴일,316,0,7,0,0,센터장(1)+공무원(3),,055-970-7637,,055-970-7632,경상남도 산청군청,2022-09-27,5450000,경상남도 산청군
광명시시민건강증진센터,건강증진,경기도 광명시 광명로 942-1,경기도 광명시 광명동 92-10,37.48278046,126.8562947,건강기초검사+상담+어린이 건강체험관+어르신 운동 프로그램 운영,09:00,18:00,법정공휴일,,0,2,0,1,"행정,청원경찰(3)",,02-2680-0967,광명시보건소,02-2680-0965,경기도 광명시 보건소,2022-08-12,3900000,경기도 광명시
건강생활지원센터 고양,건강증진,경기도 고양시 덕양구 혜음로 19-11,경기도 고양시 덕양구 고양동 233-2,37.7025182,126.9011953,건강마을 만들기+대사증후군 등록관리+생애주기별 비만예방 프로그램,09:00,18:00,토+공휴일,143.64,0,1,1,1,,,031-8075-4823,덕양구보건소,031-8075-4046,경기도 고양시 덕양구보건소,2022-09-20,3940000,경기도 고양시
거창군정신건강복지센터,건강증진,경상남도 거창군 거창읍 거함대로 3079,경상남도 거창군 거창읍 송정리 332-3,35.6809363,127.8987274,정신질환대상자 등록 관리+주간재활프로그램 운영+지역주민 정신건강상담 및 지원+자살예방사업 등,09:00,18:00,토+일+공휴일,192,1,6,4,0,물리치료사(1),정신건강의학과 전문의 상담 필요시 사전 연락요망,055-940-8383,경상남도 거창군보건소,055-940-8310,경상남도 거창군청,2022-08-17,5470000,경상남도 거창군
영광군정신건강복지센터,정신보건,전라남도 영광군 영광읍 신남로4길17,전라남도 영광군 영광읍 남천리 326,35.274681,126.504163,정신질환자 사례관리및 상담 교육+정신질환자 사회복귀을 위한 프로그램,09:00,18:00,토+일+공휴일,,1,3,7,,,6시 이후 정신건강 상담 시 콜센터 연결 1393,061-350-4807,영광기독신하병원,061-350-5666,영광군보건소,2022-09-20,4970000,전라남도 영광군
광양시건강증진센터,건강증진,전라남도 광양시 광양읍 인덕로 1100,전라남도 광양시 광양읍 칠성리 70,34.98097674,127.5836111,건강증진사업+모바일헬스케어+워크온,09:00,18:00,토+일+공휴일,178,1,2,1,1,간호조무사(3),,061-797-4103,광양시보건소,061-797-4018,광양시보건소,2022-09-14,4840000,전라남도 광양시
광양시 정신건강복지센터,정신보건,전라남도 광양시 광양읍 인덕로 1100,전라남도 광양시 광양읍 칠성리 70,34.98097674,127.5836111,중증정신질환자 관리사업+아동청소년 정신건강증진사업+자살예방사업 등,09:00,18:00,토+일+공휴일,180,1,8,2,,,,061-797-3746,광양시보건소,061-797-3784,광양시보건소,2022-09-14,4840000,전라남도 광양시
광양시치매안심센터,정신보건,전라남도 광양시 광양읍 호북길 13-3,전라남도 광양시 광양읍 칠성리 898-3,34.98010194,127.5836111,치매상담+치매등록+치매조기검진+치매예방프로그램+공공후견인사업+치매안심마을+치매인식개선 홍보+지역 치매네크워크 구축+치매환자 약제비 지원+조호물품지급+쉼터운영+치매가족지원,09:00,18:00,토+일+공휴일,593,1,7,1,,간호조무사(1),,061-797-4059,광양시보건소,061-797-4124,광양시보건소,2022-09-14,4840000,전라남도 광양시
청도군건강증진센터,건강증진,경상북도 청도군 화양읍 청화로 79-11,경상북도 청도군 화양읍 범곡리 96,35.64862487,128.7372615,수영장+헬스장운영,06:00,21:00,일+설 연휴+추석 연휴,462,0,0,0,0,헬스강사(1)+수영강사(2)+접수(2)+환경정비(3)+기계실(3),회원제 및 일일입장,054-370-2669,청도군 보건소,054-370-6471,경상북도 청도군 보건소,2022-08-31,5190000,경상북도 청도군
중구정신건강복지센터,정신보건,서울특별시 중구 서소문로6길 16,서울특별시 중구 중림동 155-1,37.559432,126.9662595,"중증 정신질환자 등록 관리사업,영유아 아동청소년 지원사업주민정신건강증진사업생명사랑사업 등",09:00,18:00,토+일+기타 법령이 정하는 공휴일,227.7,1,2,11,0,행정담당(1)+임상심리사(3),,02-2236-6606,서울대학교병원,02-3396-6383,서울특별시 중구 보건소,2022-09-19,3010000,서울특별시 중구
서구 보건소 건강증진센터,건강증진,대전광역시 서구 만년로 74,대전광역시 서구 만년동 340,36.367062,127.3810998,"체성분 검사, 운동처방 운동프로그램",09:00,18:00,"토요일,일요일,공휴일",,0,0,0,,,코로나19로 인한 잠정중단,042-288-4545,,,대전광역시 서구보건소,2022-05-26,3660000,대전광역시 서구
서구 관저보건지소 건강증진센터,건강증진,대전광역시 서구 구봉산북로 300,대전광역시 서구 관저동 1424,36.301037,127.345007,"체성분 검사, 운동처방 운동프로그램",09:00,18:00,"토요일,일요일,공휴일",,0,0,0,,,코로나19로 인한 잠정중단,042-288-4634,,,대전광역시 서구보건소,2022-05-26,3660000,대전광역시 서구
건강증진센터,건강증진,경기도 가평군 가평읍 가화로 155-9,경기도 가평군 가평읍 읍내리 624-15번지,37.8329564,127.5112146,"신체활동, 영양업무",9:00,18:00,"토요일, 일요일, 국경일",246.82,0,0,0,2,2,,031-580-2833,가평군보건소,031-582-2488,가평군보건소,2022-05-26,4160000,경기도 가평군
대구남구정신건강복지센터,정신보건,대구광역시 남구 영선길 34,대구광역시 남구 대명동 2003,35.853883,128.5915237,중증정신질환자관리사업+아동청소년정신보건사업+자살예방사업+정신건강증진사업,09:00,18:00,토요일+일요일+공휴일,122.5,1,5,7,0,임상심리사(2),,053-628-5863,영남대학교의료원,053-664-3632,대구광역시 남구보건소,2022-05-19,3440000,대구광역시 남구
건강드림센터,건강증진,경상남도 밀양시 삼문중앙로 41,경상남도 밀양시 삼문동 159-1,35.485619,128.756009,맞춤 운동처방 및 영양상담+지역특화 건강증진+만성질환 관리 프로그램 운영,9:00,18:00,토요일+일요일+공휴일,346.7,0,0,0,1,건강운동관리사(1)+생활스포츠지도사(1),,055-359-7056,밀양시보건소,055-359-7010,경상남도 밀양시청,2022-05-25,5360000,경상남도 밀양시
시민(어르신)건강증진센터,건강증진,전라북도 정읍시 수성1로 61,전라북도 정읍시 수성동 958-2,35.5779812453,126.8545209615,"만성질환건강상담,운동상담,영양상담,시민건강증진교육",09:00,18:00,법정공휴일,,0,1,0,1,1,,063-539-6088,전라북도 정읍시 보건소,063-539-6101,전라북도 정읍시 보건소,2022-05-25,4690000,전라북도 정읍시
부산북구정신건강복지센터,정신보건,부산광역시 북구 만덕대로89번길 9(덕천동) 북구보건소 덕천지소 3층,부산광역시 북구 덕천동 378-7,35.2127675,129.0144018,정신건강증진및재활+생명존중자살예방+아동청소년정신건강증진,9:00,18:00,주말+공휴일,133,1,12,7,0,임상심리사(2),,051-334-3200,부산대학교 산학협력단,051-309-4500,부산광역시 북구 보건소,2022-05-26,3320000,부산광역시 북구
태백시건강증진센터,건강증진,강원도 태백시 태백로 905,강원도 태백시 황지동 20-8,37.176676,128.9924305,건강증진,9:00,18:00,토요일+일요일 휴무,831,0,3,0,1,3,헬스장 이용 불가,033-550-3039,태백시보건소,033-550-2713,태백시보건소,2022-05-25,4220000,강원도 태백시
상당정신건강복지센터,정신보건,충청북도 청주시 상당구 남일면 단재로 480,충청북도 청주시 상당구 남일면 효촌리 92-2,36.5882642096,127.5059388388,정신건강+질병예방+건강관리,09:00,18:00,토요일+일요일+공휴일,176.25,1,3,11,0,0,,043-298-0199,충북대학교병원,043-201-3164,청주시 상당보건소,2022-05-16,5710000,충청북도 청주시
서원정신건강복지센터,정신보건,충청북도 청주시 서원구 구룡산로 235,충청북도 청주시 서원구 수곡동 901,36.61602197,127.4713297,정신건강+질병예방+건강관리,09:00,18:00,토요일+일요일+공휴일,294.37,1,0,10,0,4,,043-291-0199,청주의료원,043-201-3263,청주시 서원보건소,2022-05-16,5710000,충청북도 청주시
흥덕정신건강복지센터,정신보건,충청북도 청주시 흥덕구 비하로15번길 16,충청북도 청주시 흥덕구 비하동 121-7,36.62858039,127.4242658,정신건강+질병예방+건강관리,09:00,18:00,토요일+일요일+공휴일,366.01,1,1,13,0,0,,043-234-8686,혜광의료재단 충북병원,043-201-3363,청주시 흥덕보건소,2022-05-16,5710000,충청북도 청주시
청원정신건강복지센터,정신보건,충청북도 청주시 청원구 오창읍 과학산업3로 238,충청북도 청주시 청원구 오창읍 각리 639-1,36.71040553,127.4304724,정신건강+질병예방+건강관리,09:00,18:00,토요일+일요일+공휴일,282.3,1,1,12,0,0,,043-215-6868,청주병원,043-201-3467,청주시 청원보건소,2022-05-16,5710000,충청북도 청주시
부산동구정신건강복지센터,정신보건,부산광역시 동구 구청로 1,부산광역시 동구 수정동 806-74,35.12929757,129.0452982,"자살예방 및 정신건강증진, 중증정신질환자관리, 재난정신건강지원 등",09:00,18:00,매주 토요일 + 매주 일요일 + 공휴일,,1,0,7,,정신건강전문요원(8)+서무(1),,051-911-4600,우리병원,051-440-6500,부산광역시 동구 보건소,2022-10-21,3270000,부산광역시 동구
통합건강관리실,건강증진,인천광역시 동구 석수로 90,인천광역시 동구 만석동 18-3,37.48304084,126.6259351,"금연,절주 홍보 및 예방교육,공중이용시설점검,금연클리닉 운영,담배소매점의 청소년 담배판매 모니터링 ,비만관리,노인체조교실 ,주민걷기프로그램 ,비만스크리닝 및 영양상담 식사일지 작성,분석상담비만관리에 따른 영양상담비만관리",09:00,18:00,주말+공휴일,282,0,1,1,3,운동처방사(3),,032-770-5736,동구보건소,032-770-5736,동구보건소,2022-10-20,3500000,인천광역시 동구
장성군정신건강복지센터,건강증진,전라남도 장성군 장성읍 청운11길 13,,35.30454285,126.7824532,"정신질환자 등록관리,자살예방사업, 아동청소년 정신보건사업",09:00,18:00,"토,일요일/공휴일",158,0,6,3,,,전문의 상담을 원하실경우 예약필수,061-395-0199,장성군보건소,061-390-8350,장성군보건소,2022-11-01,4980000,전라남도 장성군
장성군치매안심센터,정신보건,전라남도 장성군 장성읍 성산5길17,전라남도 장성군 장성읍 성산리 178-2,35.3233003,126.808367,"치매상담 및 등록관리사업, 치매조기검진사업, 치매검사비 자원, 치매예방관리사업, 치매환자쉼터, 배회가능 어르신 인식표 보급 사업, 치매치료관리비 지원, 조호물품 제공, 치매가족 및 보호자 지원사업, 치매인식개선사업, 치매파트너 사업, 치매안심마을 운영",09:00,18:00,"토,일요일/공휴일",495,0,7,2,,작업치료사(1)+임상심리사(1),,061-390-7160,장성군보건소,,장성군보건소,2022-11-01,4980000,전라남도 장성군
U_만성질환관리센터(동탄),건강증진,경기도 화성시 노작로 226-9,,37.2070698,127.0786007,고혈압+당뇨병+이상지질혈증+비만+비약물관리,09:00,18:00,토요일+일요일+공휴일,330,0,1,0,1,,,031-5189-4374,한림대학교동탄성심병원 산학협력단,031-5189-4738,경기도 화성시 동탄보건소,2022-11-01,5530000,경기도 화성시
U_만성질환관리센터(기배),건강증진,경기도 화성시 기안남로 62,,37.22433529,126.9846364,고혈압+당뇨병+이상지질혈증+비만+비약물관리,09:00,18:00,토요일+일요일+공휴일,171,0,1,0,1,,,031-5189-4491,한림대학교동탄성심병원 산학협력단,031-5189-4738,경기도 화성시 동탄보건소,2022-11-01,5530000,경기도 화성시
U_만성질환관리센터(봉담),건강증진,경기도 화성시 봉담읍 동화새터길 109,,37.21705438,126.9611048,고혈압+당뇨병+이상지질혈증+비만+비약물관리,09:00,18:00,토요일+일요일+공휴일,273,0,1,0,1,,,031-5189-6253,한림대학교동탄성심병원 산학협력단,031-5189-4738,경기도 화성시 동탄보건소,2022-11-01,5530000,경기도 화성시
U_만성질환관리센터(정남),건강증진,경기도 화성시 정남면 서봉로 998,,37.16027294,126.9711097,고혈압+당뇨병+이상지질혈증+비만+비약물관리,09:00,18:00,토요일+일요일+공휴일,125,0,1,0,1,,,031-5189-4481,한림대학교동탄성심병원 산학협력단,031-5189-4738,경기도 화성시 동탄보건소,2022-11-01,5530000,경기도 화성시
화성시정신건강복지센터(향남본소),건강증진,경기도 화성시 향남읍 향남로 470,,37.13754375,126.9242565,시민대상 정신건강상담+정신건강인식개선 홍보+마음안심버스 운영+정신건강 위기대응 핫라인 운영+정신질환자 주거지원,09:00,18:00,토요일+일요일+공휴일,249,0,3,20,0,,,031-352-0175,사회복지법인)경산복지재단,031-5189-6263,경기도 화성시보건소,2022-11-01,5530000,경기도 화성시
파주시정신건강복지센터,정신보건,경기도 파주시 조리읍 봉천로 68,경기도 파주시 조리읍 봉일천리 188-9,37.74507915,126.8050097,정신질환예방 및 정신질환자 등록 관리,09:00,18:00,토+일+공휴일,714.8,1,4,33,0,0,0,031-942-2117,동국대학교 일산병원,031-940-5464,경기도 파주시청,2022-04-29,4060000,경기도 파주시
건강증진120센터,건강증진,인천광역시 미추홀구 한나루로 444,인천광역시 미추홀구 학익동 4-16,37.44658054,126.667441,건강측정 및 건강상담,09:00,17:00,토+일+법정공휴일,17,0,1,0,0,0,,032-880-7475,미추홀구보건소,032-880-5487,인천광역시 미추홀구 보건소,2022-05-09,3510500,인천광역시 미추홀구
건강증진120센터,건강증진,,인천광역시 미추홀구 도화동 4-1,37.47658524,126.6577232,건강측정 및 건강상담,09:00,17:00,토+일+법정공휴일,34,0,1,0,0,0,,032-728-6319,미추홀구보건소,032-880-5487,인천광역시 미추홀구 보건소,2022-05-09,3510500,인천광역시 미추홀구
건강증진120센터,건강증진,인천광역시 미추홀구 소성로 339,인천광역시 미추홀구 문학동 385-6,37.43768332,126.6850043,건강측정 및 건강상담,09:00,17:00,토+일+법정공휴일,27.3,0,1,0,0,0,,032-728-6513,미추홀구보건소,032-880-5487,인천광역시 미추홀구 보건소,2022-05-09,3510500,인천광역시 미추홀구
건강증진120센터,건강증진,인천광역시 미추홀구 석정로 464,인천광역시 미추홀구 주안5동 20-35,37.4658875,126.687304,건강측정 및 건강상담,09:00,17:00,토+일+법정공휴일,10.2,0,1,0,0,0,,032-861-9788,미추홀구보건소,032-880-5487,인천광역시 미추홀구 보건소,2022-05-09,3510500,인천광역시 미추홀구
건강증진120센터,건강증진,인천광역시 미추홀구 인주대로 198,인천광역시 미추홀구 용현동 140-10,37.45480121,126.658576,건강측정 및 건강상담,09:00,17:00,토+일+법정공휴일,17.2,0,1,0,0,0,,032-728-6177,미추홀구보건소,032-880-5487,인천광역시 미추홀구 보건소,2022-05-09,3510500,인천광역시 미추홀구
건강체력증진센터,건강증진,인천광역시 미추홀구 주안서로 52,인천광역시 미추홀구 주안동 230-8,37.46346603,126.678076,체력검사 및 맞춤운동프로그램 운영,09:00,21:00,토+일+법정공휴일,280.5,0,0,0,0,생활스포츠지도사(1명)+체육정교사(1명),,032-876-0321,미추홀구보건소,032-880-5486,인천광역시 미추홀구 보건소,2022-05-09,3510500,인천광역시 미추홀구
영등포구 정신건강복지센터,정신보건,서울특별시 영등포구 당산로 123(당산동3가),서울특별시 영등포구 당산동3가 385-1,37.52596316,126.8963671,"정신건강 고위험군 조기발견 및 조기개입, 생애주기별 정신건강 예방사업, 정신건강 취약지역 사업자살위기개입 및 관리",09:00,18:00,토+일+공휴일,196.4,0,14,6,0,4,,02-2670-4793,영등포구보건소직영,02-2670-4753,서울특별시 영등포구보건소(건강증진과),2022-05-06,3180000,서울특별시 영등포구
