로컬푸드인증번호,인증유효시작일자,인증유효종료일자,인증취소일자,사업장도로명주소,사업장지번주소,생산지도로명주소,생산지지번주소,품목명,재배면적,재배규모,인증부여일자,사업자명,사업자등록번호,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
2017-03-0586,2017-12-27,2019-12-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 반교로 21 남양사이버  105동 305호,,풋마늘,,,2017-12-27,최선주,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-04-0030,2017-02-28,2019-02-27,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 화산면 미남길 30,,더덕,,,2017-02-28,우광옥,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-04-0059,2017-04-04,2019-04-03,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동중앙로 164,,황기,,,2017-04-04,이종승,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-04-0134,2017-05-30,2019-05-29,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 평촌오 336-29,,도라지,,,2017-05-30,이윤희,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-04-0210,2017-07-16,2019-07-15,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 운주면 금고당로 969,,더덕,,,2017-06-29,최우식,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-04-0227,2017-07-28,2019-07-27,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 화산면 화산로 1500-75,,도라지,,,2017-07-28,김영순,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0524,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 삼례읍 백두전와길 125,,쑥,,,2017-11-29,유서옥,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0525,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 호지길 66,,배추,,,2017-11-29,유승민,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0526,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 수선길 56-11,,상추,,,2017-11-29,유재환,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0527,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 신지앵곡길 199-10,,양배추,,,2017-11-29,유환우,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0528,2018-02-24,2020-02-23,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 천호로 793,,무,,,2017-11-29,유희관,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0529,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 천호로 831-29,,양배추,,,2017-11-29,유희래,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0530,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 천호로 552-3,,양배추,,,2017-11-29,유희빈,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0531,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 상하학길 20-37,,배추,,,2017-11-29,육국란,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0533,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가길 21-3,,쪽파,,,2017-11-29,이난영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0534,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 소양면 원화심길 49,,배추,,,2017-11-29,이미재,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0535,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 춘향로 3942-20,,배추,,,2017-11-29,이복남,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0536,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 신상길 20,,당근,,,2017-11-29,이상로,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0537,2018-02-24,2020-02-23,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 용진읍 양전지동길 86-7,,꽈리고추+오이+당근,,,2017-11-29,이승철,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0539,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 덕평로 52-2,,대파,,,2017-11-29,이용임,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0540,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 구이로 1543-9,,배추,,,2017-11-29,이웅우,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0541,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 소양면 토정길 63,,무,,,2017-11-29,이종태,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0542,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 신상길 20-2,,당근,,,2017-11-29,이충노,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0543,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가길 21-6,,배추,,,2017-11-29,이화일,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0544,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 소양면 인덕길 178-40,,두메부추,,,2017-11-29,인덕두레농장,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0546,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 화산면 궁평가양길 142-2,,무,,,2017-11-29,임경남,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0547,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 주동길 118,,배추,,,2017-11-29,임양자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0548,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 이전길 25-3,,부추,,,2017-11-29,임중식,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0549,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 운주면 대둔산로 1828-4,,배추,,,2017-11-29,장수철,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0550,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 용진읍 상운길 14,,당근,,,2017-11-29,전현호,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0553,2018-02-24,2020-02-23,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 삼례읍 버드리2길 18,,딸기,,,2017-11-29,정옥경,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0554,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 은교신월길 46,,대파,,,2017-11-29,정옥자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0555,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 용진읍 용흥시천길 10-1,,상추,,,2017-11-29,정헌모,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0557,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동동서로 76 명진2차  101동 905호,,대파,,,2017-11-29,조완전,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0558,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가길 19-3,,무,,,2017-11-29,태양임,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0487,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 이서남로 171-129,,무,,,2017-10-27,함정자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0487,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 이서남로 171-129,,무,,,2017-10-27,함정자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0488,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 고산면 고산로 99-3,,무,,,2017-10-27,홍영임,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0488,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 고산면 고산로 99-3,,무,,,2017-10-27,홍영임,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0491,2018-02-24,2020-02-23,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 경천면 만수동길 82,,대파,,,2017-11-29,강춘자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0492,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 만덕산길 269,,부추,,,2017-11-29,고양순,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0493,2018-02-24,2020-02-23,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 천호로 662-1,,콜라비,,,2017-11-29,구태회,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0495,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 고산면 어우길 47-6,,대추방울토마토,,,2017-11-29,김병호,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0496,2018-02-24,2020-02-23,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 경천면 만수동길 90-3,,상추,,,2017-11-29,김복순,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0497,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동동서로 46,,양상추,,,2017-11-29,김순기,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0500,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 낙평남북로 105,,대파,,,2017-11-29,김용명,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0501,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동중앙로 53-20 주공 107동804호,,애호박,,,2017-11-29,김용필,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0502,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 성덕길 67,,무,,,2017-11-29,김점순,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0504,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 장파길 31-28,,멜라초,,,2017-11-29,김한철,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0505,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 이문길 15 (부영 101/506),,풋고추,,,2017-11-29,남주희,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0507,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 화산면 용수번대길 41,,배추,,,2017-11-29,노경부,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0510,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 초남신기길 192-37,,배추,,,2017-11-29,박우순,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0512,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동중앙로 53-18 주공1차  102동 503호,,딸기,,,2017-11-29,배광동,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0513,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 양동길 26,,배추,,,2017-11-29,배청희,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0514,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 평촌로 336-52,,샐러리,,,2017-11-29,상하보두례농장,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0515,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 덕평로 275-18,,무,,,2017-11-29,서준철,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0516,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 용진읍 설경길 81-19,,부추,,,2017-11-29,서흥선,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0517,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 운주면 금고당로 19-6,,취나물,,,2017-11-29,손세항,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0518,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 두방길 43-4,,쪽파,,,2017-11-29,송재룡,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0519,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 난산평촌로 30,,배추,,,2017-11-29,안동식,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0520,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 경천면 경가천길 488-11,,상추+아욱,,,2017-11-29,안홍엽,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0521,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 대문안길 42,,무,,,2017-11-29,양영철,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0522,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 화산면 미남길 30-6,,부추,,,2017-11-29,양치연,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0523,2017-11-29,2019-11-28,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 고산면 고산천로 912-5,,딸기,,,2017-11-29,양해준,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0457,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동로 57-11,,생강,,,2017-10-27,이순애,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0459,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가길 15-4,,가지,,,2017-10-27,이순자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0459,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가길 15-4,,가지,,,2017-10-27,이순자,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0461,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 용진읍 지암안길 21,,당근,,,2017-10-27,이쌍구,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0461,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 용진읍 지암안길 21,,당근,,,2017-10-27,이쌍구,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0463,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 신상길 25-11,,당근,,,2017-10-27,이지노,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0463,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 신상길 25-11,,당근,,,2017-10-27,이지노,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0468,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 장미로 101-30,,삼채,,,2017-10-27,임순태,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0468,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 장미로 101-30,,삼채,,,2017-10-27,임순태,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0470,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 삼례읍 용전길 79-25,,토마토,,,2017-10-27,임정아,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0470,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 삼례읍 용전길 79-25,,토마토,,,2017-10-27,임정아,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0472,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 운주면 대둔산로 861,,가지,,,2017-10-27,장정원,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0472,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 운주면 대둔산로 861,,가지,,,2017-10-27,장정원,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0473,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 쌍정길 11-3,,대파,,,2017-10-27,전준기,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0473,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 쌍정길 11-3,,대파,,,2017-10-27,전준기,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0475,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 평촌로 336-52,,무,,,2017-10-27,정용남,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0475,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 평촌로 336-52,,무,,,2017-10-27,정용남,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0476,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 마음길 20,,가지,,,2017-10-27,조금주,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0476,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 마음길 20,,가지,,,2017-10-27,조금주,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0477,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 장승길 60,,무,,,2017-10-27,조미경,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0477,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 장승길 60,,무,,,2017-10-27,조미경,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0480,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 계월길 25,,상추,,,2017-10-27,진강원,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0480,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 계월길 25,,상추,,,2017-10-27,진강원,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0481,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 모악산길 78-21,,대파,,,2017-10-27,최복남,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0481,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 모악산길 78-21,,대파,,,2017-10-27,최복남,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0482,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 상학길 50-6,,배추,,,2017-10-27,최월임,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0482,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 상학길 50-6,,배추,,,2017-10-27,최월임,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0484,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 은교신월길 42-3,,대파,,,2017-10-27,최임환,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0484,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 은교신월길 42-3,,대파,,,2017-10-27,최임환,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0433,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 신리로 99 101동 1203호,,부추,,,2017-10-27,노경애,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0433,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 신리로 99 101동 1203호,,부추,,,2017-10-27,노경애,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0434,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 하보상길 18-6 21동 806호,,배추,,,2017-10-27,노상영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0434,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 하보상길 18-6 21동 806호,,배추,,,2017-10-27,노상영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0435,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 구이로 1082-17,,아욱,,,2017-10-27,모미숙,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0435,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 구이로 1082-17,,아욱,,,2017-10-27,모미숙,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0437,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 낙평2길 23,,대파,,,2017-10-27,박수정,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0437,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 낙평2길 23,,대파,,,2017-10-27,박수정,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0439,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 호지길 24-5,,무,,,2017-10-27,박찬섭,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0439,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 호지길 24-5,,무,,,2017-10-27,박찬섭,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0440,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 춘향로 4076-9,,무,,,2017-10-27,박필례,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0440,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 상관면 춘향로 4076-9,,무,,,2017-10-27,박필례,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0442,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 수청갈동길 131,,시금치,,,2017-10-27,소충영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0442,2017-12-20,2019-12-19,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 수청갈동길 131,,시금치,,,2017-10-27,소충영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0446,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가반원길 31-9,,꼬들베기,,,2017-10-27,오점수,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0446,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 구이면 항가반원길 31-9,,꼬들베기,,,2017-10-27,오점수,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0447,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 정농대농길 243-1,,냉이,,,2017-10-27,우진경,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0447,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 이서면 정농대농길 243-1,,냉이,,,2017-10-27,우진경,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0448,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 소양면 원대흥길 130,,쪽파,,,2017-10-27,유우영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0448,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 소양면 원대흥길 130,,쪽파,,,2017-10-27,유우영,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0449,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 원소농길 29-3,,가지,,,2017-10-27,유춘상,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0449,2017-11-17,2019-11-16,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 원소농길 29-3,,가지,,,2017-10-27,유춘상,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0454,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동동서로 55,,생강,,,2017-10-27,이덕구,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0454,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동동서로 55,,생강,,,2017-10-27,이덕구,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0455,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 문장길 43-5,,배추,,,2017-10-27,이상옥,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0455,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 비봉면 문장길 43-5,,배추,,,2017-10-27,이상옥,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
2017-03-0456,2017-10-27,2019-10-26,,전라북도 완주군 용진읍 지암로 61,,전라북도 완주군 봉동읍 봉동동서로 41,,깻잎,,,2017-10-27,이성무,,,전라북도 완주군,2022-09-30,4720000,전라북도 완주군
