육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
상화육교,구도,2-15번,상화로,대구광역시 달서구 월곡로 112,35.8072449107,128.5498193144,42.8,4.5,,4.5,3.5,1.2,,Y,점자블록,1,엘리베이터,1,2013-04-30,N,양호,제한없음,,정기점검,2022-05-30,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
용산지하차도 간이육교,구도,1-23번,선원로,대구광역시 달서구 선원로 284,35.8585515357,128.5235553209,36,4.5,,4.5,1.5,1.2,,N,없음,,,,2007-12-03,N,양호,제한없음,,정기점검,2022-05-30,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
월성육교,구도,1-22번,월곡로,대구광역시 달서구 월성로 76,35.8311093577,128.5260827185,26.5,4.5,,4.5,5.8,1.2,,Y,점자블록,1,엘리베이터,1,2022-09-14,Y,양호,제한없음,,정기점검,2022-09-14,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
연희초교 앞 보도육교,시도,,연희로,서울특별시 서대문구 연희로 134,37.569298,126.933117,30,,,4.5,3.8,,,N,없음,,,,1995-03-24, ,양호,제한없음,,정기점검,2022-10-04,서대문구청,2022-10-31,3120000,서울특별시 서대문구
구서울여상 앞 보도육교,시도,,통일로,서울특별시 서대문구 통일로 325,37.579836,126.952224,30,,,4.2,4,,,N,없음,,,,1988-12-24, ,보통,제한없음,,정기점검,2022-10-05,서대문구청,2022-10-31,3120000,서울특별시 서대문구
아현고가 밑 보도육교,시도,,신촌로,서울특별시 서대문구 신촌로 319,37.558799,126.960901,39,,,4.3,4,,,N,없음,,,,2005-04-29, ,보통,제한없음,,정기점검,2022-10-05,서대문구청,2022-10-31,3120000,서울특별시 서대문구
연대병원 앞 보도육교,시도,,성산로,서울특별시 서대문구 성산로 494-6,37.560975,126.9418556,58,,,4.5,4,,,Y,엘리베이터,,,,2006-06-30, ,양호,제한없음,,정기점검,2022-10-04,서대문구청,2022-10-31,3120000,서울특별시 서대문구
홍제초교 앞 보도육교,시도,,세검정로,서울특별시 서대문구 세검정로 19,37.592299,126.9434788,25.5,,,4.3,3,,,N,없음,,,,1996-01-01, ,양호,제한없음,,정기점검,2022-10-04,서대문구청,2022-10-31,3120000,서울특별시 서대문구
금화초교 앞 보도육교,시도,,통일로,서울특별시 서대문구 통일로 165,37.568541,126.963454,29.8,,,4.5,3.5,,,N,없음,,,,1996-01-01, ,보통,제한없음,,정기점검,2022-10-05,서대문구청,2022-10-31,3120000,서울특별시 서대문구
미동초교 앞 보도육교,시도,,충정로,서을특별시 서대문구 충정로 53,37.5636687,126.964564,34.8,,,4.5,3.5,,,N,없음,,,,1996-01-01, ,보통,제한없음,,정기점검,2022-10-05,서대문구청,2022-10-31,3120000,서울특별시 서대문구
호암지육교,시도,,중원대로,충청북도 충주시 중원대로,36.964295,127.924624,,,,4.5,,,,Y,경사로,,없음,,, ,양호,제한없음,,정기점검,2020-06-23,충청북도 충주시청,2022-10-31,4390000,충청북도 충주시
목행육교,시도,,충원대로,충청북도 충주시 충원대로,37.003760,127.916597,,,,5,,,,N,없음,,없음,,, ,양호,제한없음,,정기점검,2020-06-23,충청북도 충주시청,2022-10-31,4390000,충청북도 충주시
달천초교앞육교,일반국도,3호선,중원대로,충청북도 충주시 중원대로,36.962288,127.879542,,,,5,,,,N,없음,,없음,,, ,양호,제한없음,,정기점검,2020-06-23,충청북도 충주시청,2022-10-31,4390000,충청북도 충주시
기업도시 육교 1호,시도,,기업도시로,충청북도 충주시 중앙탑면 기업도시로,37.014285,127.826974,,,,4.5,,,,Y,엘리베이터,,없음,,, ,양호,제한없음,,정기점검,2020-06-23,충청북도 충주시청,2022-10-31,4390000,충청북도 충주시
기업도시 육교 2호,시도,,기업도시3로,충청북도 충주시 주덕읍 기업도시3로,37.006544,127.815413,,,,4.5,,,,Y,엘리베이터,,없음,,, ,양호,제한없음,,정기점검,2020-06-23,충청북도 충주시청,2022-10-31,4390000,충청북도 충주시
사우육교1,시도,,김포대로,경기도 김포시 김포대로,37.621081,126.717038,50,,,4.8,3.8,1,,Y,경사로,2,없음,,2000-12-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
사우육교2,시도,,김포대로,경기도 김포시 사우동 김포대로,37.619587,126.719212,50,,,4.8,3.8,1,,Y,경사로,2,없음,,2000-12-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
마송육교1,일반국도,48번,김포대로,경기도 김포시 통진읍 마송리 김포대로,37.686773,126.590259,57,,,4.5,4,1,,Y,경사로,2,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
마송육교2,일반국도,48번,김포대로,경기도 김포시 통진읍 마송리 김포대로,37.687265,126.590619,51,,,4.5,4,1,,Y,경사로,2,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
양곡육교1,지방도,356호선,양곡4로,경기도 김포시 양촌읍 양곡리 양곡4로,37.6625476,126.633914,31,,,5.4,4,1,,Y,경사로,2,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
양곡육교2,시도,,양곡4로,경기도 김포시 양촌읍 양곡리 양곡4로,37.6560249,126.6306603,32,,,5.4,4,1,,Y,경사로,2,없음,,2008-01-01,Y,보통,제한없음,,정기점검,2022-06-30,경기도 김포시청 도로관리과,2022-11-02,4090000,경기도 김포시
구평육교,지방도,514호선,인동가산로,경상북도 구미시 인동가산로,36.093818,128.435008,31.5,8.6,,4.5,4,1.5,8,N,없음,,없음,,1997-01-01,N,양호,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
금오육교,시도,,백산로,경상북도 구미시 백산로,36.124452,128.336875,61.5,6,,4.3,4,1.5,20,Y,승강기,3,캐노피,1,2007-01-01,N,양호,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
도량ECO다리,시도,,봉곡남로,경상북도 구미시 봉곡남로,36.152645,128.320291,33.8,11.4,,4.5,3,1.5,,N,없음,,없음,,2012-10-04,N,양호,제한없음,일부 바닥판 및 난간 보수,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
도송육교,시도,,송동로,경상북도 구미시 송동로,36.14793071,128.3233597,24.3,5.25,,4.5,4,1.5,18,N,없음,,캐노피,1,1998-01-01,N,양호,제한없음,"재도장, 캐노피설치 등",정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
봉곡ECO다리,시도,,들성로,경상북도 구미시 도아읍 들성로,36.152278,128.324305,31,10.2,,4.5,3,1.5,,N,없음,,없음,,2012-10-04,N,양호,제한없음,일부 바닥판 및 난간 보수,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
봉곡육교,시도,,봉곡남로,경상북도 구미시 봉곡남로,36.151061,128.316401,21,5,,4.3,4,1.5,2,N,없음,,캐노피,1,2001-01-01,N,양호,제한없음,바닥판 교체 및 캐노피설치 등,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
비산육교,시도,,비산로,경상북도 구미시 수출대로3길,36.119547,128.373691,19.4,5.85,,4.5,3.6,1.5,,N,없음,,캐노피,1,1995-01-01,N,양호,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
삼성육교,지방도,514호선,인동가산로,경상북도 구미시 인동가산로,36.107825,128.417745,64.4,18.73,,4.5,4.4,1.5,,Y,승강기,3,없음,,2009-02-09,N,양호,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
신평육교,지방도,514호선,구미중앙로,경상북도 구미시 구미중앙로,36.11991104,128.3590587,52,6.9,,4.5,4,1.5,8,N,없음,,없음,,1992-01-01,N,양호,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
원평철도 육교,시도,,원남로1길,경상북도 구미시 원남로3길,36.12996388,128.3278706,38,8.85,,4.7,4,1.5,,N,없음,,캐노피,1,1992-01-01,N,보통,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
인동육교,지방도,514호선,인동가산로,경상북도 구미시 인동가산로,36.107931,128.417844,35,6.84,,4.8,4,1.5,8,N,없음,,없음,,1997-01-01,N,양호,제한없음,,정기점검,2022-06-14,경상북도 구미시,2022-10-21,5080000,경상북도 구미시
제물포보도육교,구도,,경인로,인천광역시 미추홀구 숙골로 35번길 74,37.466908,126.662483,30,7,,7,3,,,N,없음,,없음,,2006-08-01, ,보통,제한없음,강재도장,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
고속종점보도육교,시도,65호,인천대로,인천광역시 미추홀구 아암대로 53,37.45661955,126.6358522,41.5,5,,5,3.7,,,N,없음,,없음,,1999-12-08, ,보통,제한없음,핸드레일+바닥+계단+거더 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
낙섬사거리보도육교,구도,,"매소홀로, 아암대로",인천광역시 미추홀구 매소홀로 45,37.45127311,126.631758,88,4.5,,4.5,3,,,Y,경사로,3,없음,,2002-11-19, ,보통,제한없음,기둥+거더+계단 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
관교보도육교,구도,,경원대로,인천광역시 미추홀구 주승로 180,37.445337,126.690402,126,5.5,,5.5,3.8,,,Y,경사로,2,없음,,1999-12-19, ,보통,제한없음,기둥+거더+계단 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
주안동 보도육교,구도,,경인로,인천광역시 미추홀구 염창로 114-42,37.46469947,126.686009,30,7,,7,2,,,Y,없음,,엘리베이터,2,2000-12-26, ,보통,제한없음,강재도장+바닥포장+트렌치설치,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
용현동보도육교,시도,65호,인천대로,인천광역시 미추홀구 경인북길 245,37.45485315,126.661491,56,5,,5,3.65,,,N,없음,,없음,,2001-07-13, ,보통,제한없음,기둥+거더+계단 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
숭의보도육교,구도,,경인로,인천광역시 미추홀구 참외전로 317,37.466539,126.649479,32,7,,7,4,,,N,없음,,없음,,1992-12-20, ,양호,제한없음,계단 도색,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
도화동보도육교,구도,,경인로,인천광역시 미추홀구 숙골로 24번길 62,37.46559497,126.671107,40,7,,7,4,,,N,없음,,없음,,1992-11-19, ,양호,제한없음,,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
인천터미널경관육교,구도,,인하로,인천광역시 미추홀구 연남로 35,37.44250623,126.7015187,36.7,5,,5,4.5,,,Y,없음,,엘리베이터,2,2011-02-01, ,양호,제한없음,계단 보수,정기점검,2021-12-17,인천광역시 미추홀구청,2022-10-20,3510500,인천광역시 미추홀구
성서육교,일반국도,30번,달구벌대로,대구광역시 달서구 달구벌대로 1334,35.8505700040,128.5133674496,41.7,4.5,,4.5,4,1.2,,Y,점자블록,1,,,1993-05-26,N,양호,제한없음,,정기점검,2022-05-30,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
감삼육교,구도,1-3번,당산로,대구광역시 달서구 당산로 123,35.8491799778,128.5451459147,17,4.5,,4.5,3,1.2,,Y,점자블록,1,,,1993-08-05,N,양호,제한없음,,정기점검,2022-05-30,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
두류육교,일반국도,5번,두류공원로,대구광역시 달서구 두류공원로 255-1,35.85754917,128.5566095,33.5,5,,5,4,1.2,,Y,점자블록,1,,,1996-05-14,N,양호,제한없음,,정기점검,2022-05-30,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
송현육교,구도,1-24번,앞산순환로,대구광역시 달서구 앞산순환로 301,35.8281700335,128.5601882593,38,4.8,,4.8,4.5,1.2,,Y,점자블록,1,,,1997-07-10,N,양호,제한없음,,정기점검,2022-05-30,대구광역시 달서구청,2022-10-11,3470000,대구광역시 달서구
오천보도육교,일반국도,42번,중부대로,경기도 이천시 마장면 중부대로 133,37.25601404,127.3511666,25.6,5,,5,2.5,,0,Y,엘리베이터+점자블록,3,캐노피+엘리베이터,3,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
수광보도육교,시도,,경충대로,경기도 이천시 신둔면 경충대로 3122-20,37.30503377,127.4049025,29,5,,4.8,5,,10,Y,엘리베이터+점자블럭,3,엘리베이터,2,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
사음보도육교,시도,,경충대로,경기도 이천시 경충대로 2855,37.29118664,127.4250777,26,5.2,,5.2,4,,4,N,없음,0,없음,0,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
관고보도육교,시도,,경충대로,경기도 이천시 경충대로 2675번길 6,37.27713448,127.4348064,28.9,5,,4.8,4,,4,N,없음,0,없음,0,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
중리보도육교,시도,,경충대로,경기도 이천시 경충대로 2626,37.27576654,127.4412271,28.9,5,,4.8,4,,4,N,없음,0,캐노피,0,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
진리보도육교,시도,,경충대로,경기도 이천시 경충대로 2483,37.27092798,127.4548778,31,5,,4.8,4,,12,N,없음,0,캐노피,0,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
신하보도육교,시도,,경충대로,경기도 이천시 부발읍 경충대로 2243,37.25970848,127.4770612,26.4,5.2,,5,3.9,,21,Y,엘리베이터+점자블럭,3,캐노피+엘리베이터,3,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
사동보도육교,시도,,경충대로,경기도 이천시 대월면 사동로 176,37.24461709,127.4948977,30,5,,5,2,,12,Y,경사로,1,없음,0,,N,보통,제한없음,,정기점검,2021-06-30,경기도 이천시청,2022-09-16,4070000,경기도 이천시
합천육교,기타,,대야로,경상남도 합천군 대야로,35.565305,128.162806,21.2,5.5,,5,3,1.2,0,N,없음,0,없음,0,1998-08-01,N,양호,제한없음,,정기점검,2020-10-01,경상남도 합천군청,2022-09-16,5480000,경상남도 합천군
중앙육교,지방도,11번,인북로,전라북도 익산시 인북로 86,35.9366218744,126.9524482413,20,4.5,,4.3,3,1.5,0,N,없음,0,없음,0,1997-05-15,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,전라북도 익산시청,2022-09-17,4680000,전라북도 익산시
북중육교,지방도,23번,익산대로,전라북도 익산시 익산대로 411,35.9625978239,126.9531689860,21,4.8,,4.5,4,1.5,0,N,없음,0,없음,0,1999-09-04,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,전라북도 익산시청,2022-09-17,4680000,전라북도 익산시
신동육교,지방도,23번,무왕로,전라북도 익산시 무왕로12길 9-23,35.9601983219,126.9661883972,30,4.8,,4.5,4,1.5,0,N,없음,0,없음,0,2000-04-21,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,전라북도 익산시청,2022-09-17,4680000,전라북도 익산시
영등육교,지방도,23번,무왕로,전라북도 익산시 무왕로 1100,35.9583147723,126.9790008138,30,4.8,,4.5,3,1.5,0,N,없음,0,없음,0,2001-10-13,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,전라북도 익산시청,2022-09-17,4680000,전라북도 익산시
어양육교,지방도,23번,무왕로,전라북도 익산시 무왕로 1152,35.9587532690,126.9846426057,30,4.8,,4.5,3,1.5,0,N,없음,0,없음,0,2001-10-13,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,전라북도 익산시청,2022-09-17,4680000,전라북도 익산시
팔봉육교,지방도,720번,무왕로,전라북도 익산시 무왕로 1432,35.9663785894,127.0136694393,31,4.7,,4.5,3,1.5,0,Y,엘리베이터,2,엘리베이터+캐노피,2,2010-11-15,Y,양호,제한없음,캐노피 설치,정기점검,2017-10-17,전라북도 익산시청,2022-09-17,4680000,전라북도 익산시
남양파크 육교,시도,,중마로,전라남도 광양시 중마로 210,34.94334001,127.6899422,23.5,,,4.3,3,,,N,없음,,,,1995-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
성호육교,시도,,광장로,전라남도 광양시 광장로 70,34.93340735,127.6904363,26,,,4.8,3,,,Y,경사로,,,,2015-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
가야초등학교 육교,시도,,가야로,전라남도 광양시 가야로 369,34.96704652,127.7127294,25,,,5,2,,,N,없음,,,,1997-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
백운육교,일반국도,2,금호로,전라남도 광양시 금호로 215,34.94245668,127.7265646,35,,,5.4,3,,,Y,경사로,,,,1996-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
금당육교,일반국도,2,금호로,전라남도 광양시 희망길 8,34.936176,127.7253574,35,,,4.7,3,,,Y,경사로,,,,1989-01-01, ,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시청,2022-09-15,4840000,전라남도 광양시
석남육교,일반국도,29호,서해로,충청남도 서산시 서해로 3415(석남동),36.7700528,126.4580608,24,62,225,45,26,12,,Y,휠체어 리프트,1,비가림시설,1,1996-05-27,N,양호,제한없음,,정기점검,2020-12-01,충청남도 서산시청,2022-08-30,4530000,충청남도 서산시
동명초교앞보도육교,시도,,내곡~월곡선-30(고산자로),서울특별시 성동구 고산자로 323,37.568532,127.037199,20.4,,,4.4,3,,,N,없음,,,,,N,보통,제한없음,,정기점검,2020-04-17,서울특별시 성동구청,2022-08-25,3030000,서울특별시 성동구
공원앞 육교,시도,52번,능곡중앙로,경기도 시흥시 능골길 1,37.36789973,126.814585,94.2,5.5,,4.5,3.5,1.5,,Y,경사로,2,없음,,2006-12-31,Y,양호,제한없음,,정기점검,2022-11-03,경기도 시흥시청,2022-11-24,4010000,경기도 시흥시
옥구공원앞 삼거리 육교,시도,39번,옥구공원로,경기도 시흥시 정왕대로 28번길 28,37.3546971,126.715703,39.2,5.5,,4.5,4,1.5,,Y,경사로,2,엘리베이터,2,2011-12-31,Y,양호,제한없음,,정기점검,2022-11-03,경기도 시흥시청,2022-11-24,4010000,경기도 시흥시
숙위교,시도,,청중로,인천광역시 서구 청라루미로42번길 5-23,37.529925,126.642682,42,5.5,,4.5,6.5,1.5,188,Y,경사로 및 엘리베이터,3,N,0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
문숙교,시도,,청중로,인천광역시 서구 청라사파이로 158,37.529564,126.626104,55.5,5.5,,4.5,6.5,1.5,291,Y,경사로 및 엘리베이터,3,N,0,2012-06-30,Y,양호,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
허암교,시도,,경제로,인천광역시 서구 청라동 84-11,37.536383,126.626065,55.5,5.5,,4.5,6.5,1.5,,Y,경사로 및 엘리베이터,3,N,0,2012-06-30,Y,양호,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
가정보도육교,시도,,봉오대로,인천광역시 서구 가정동 632,37.525089,126.667247,158,7.5,,4.5,11.5,,,Y,경사로,,N,,2015-12-02,Y,양호,제한없음,,정밀점검,2018-12-21,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
계수육교,구도,,무진대로,광주광역시 서구 쌍촌동 1336,35.16218058,126.8600393,72.2,,,5,5,,,N,없음,,,,1999-01-01, ,양호,제한없음,,정기점검,2022-06-30,광주광역시 서구청,2022-11-29,3600000,광주광역시 서구
짚봉육교,구도,,금화로,광주광역시 서구 화정동 406-7,35.13740548,126.8776517,87.3,,,5,3.9,,,N,없음,,,,2002-01-01, ,양호,제한없음,,정기점검,2022-06-30,광주광역시 서구청,2022-11-29,3600000,광주광역시 서구
내방육교,구도,,화정로,광주광역시 서구 화정동 71-6,35.15542105,126.8768607,21.4,,,5,3,,,N,없음,,,,2004-01-01, ,양호,제한없음,,정기점검,2022-06-30,광주광역시 서구청,2022-11-29,3600000,광주광역시 서구
탄벌보도육교,일반국도,43번,회안대로,경기도 광주시 탄벌동 21-2,37.41789329,127.249877,45.1,5.5,,4.5,3,,,Y,경사로,,캐노피,0,2003-12-31,N,양호,제한없음,전체 도장보수+ 비가림시설설치,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
태전동보도육교,일반국도,43번,회안대로,경기도 광주시 태전동 609-2,37.38637107,127.2354198,20,5.5,,4.5,3.6,,,Y,경사로,,엘리베이터+캐노피,2,2000-12-31,N,양호,제한없음,전체 도장보수+ 비가림시설설치,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
삼동육교,시도,23번,경충대로,경기도 광주시 삼동 산53-1,37.41240004,127.2007917,33,5.3,,4.3,4,,,N,없음,,캐노피,0,2000-12-31,N,양호,제한없음,전체 도장보수+ 비가림시설설치,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
장지동육교,시도,23번,경충대로,경기도 광주시 장지동 산46-13,37.40396622,127.2363483,70.6,5.5,,4.5,1.5,,,Y,경사로,,캐노피,0,2013-11-25,Y,양호,제한없음,전체 도장보수+ 비가림시설설치,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
쌍령동육교,시도,23번,경충대로,경기도 광주시 쌍령동 101-2,37.40485038,127.2679214,32,6,,4.8,4,,,N,없음,,엘리베이터+캐노피,2,2012-12-31,Y,양호,제한없음,전체 도장보수+ 비가림시설설치,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
역동육교,시도,23번,경충대로,경기도 광주시 역동 90-3,37.40119001,127.2446442,28,6,,4.6,2.8,,,N,없음,,엘리베이터+캐노피,2,2007-12-31,Y,양호,제한없음,전체 도장보수+ 비가림시설설치,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
오포육교,지방도,57번,태재로,경기도 광주시 오포읍 신현리 709-15,37.360013,127.151009,38.5,6,,5,3.5,,,Y,경사로,,없음,0,2009-12-17,Y,양호,제한없음,도장보수,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
대쌍령보도육교,시도,23번,경충대로,경기도 광주시 초월읍 대쌍령리 211-5,37.385554,127.289077,38,6,,5,3.5,,,N,없음,,엘리베이터+캐노피,2,2016-09-01,Y,양호,제한없음,도장보수,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
무명육교,시도,23번,경충대로,경기도 광주시 곤지암읍 곤지암리 543,37.350646,127.340463,29.7,6,,5,4,,,N,없음,,없음,0,1997-09-01,N,양호,제한없음,없음,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
삼례육교,기타,25호선,삼례역로,전라북도 완주군 삼례읍 후정리 279-3,35.9070824,127.062021,,,,4.8,,,,Y,승강기,,,,, ,양호,제한없음,,정기점검,2022-11-07,전라북도 완주군 도로교통과,2022-11-24,4720000,전라북도 완주군
삼향동사무소육교,시도,1번,호남선,전라남도 목포시 영산로 743,34.830438,126.417928,38,4.9,,4.8,3,,,N,없음,,,,1998-01-01, ,양호,제한없음,,정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
대박산육교,시도,1번,호남선,전라남도 목포시 영산로 762,34.831972,126.418279,38,5.1,,4.8,3,,,N,없음,,,,1998-01-01, ,양호,제한없음,,정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
용해여상고육교,시도,1번,호남선,전라남도 목포시 영산로 417,34.806641,126.411395,29,4.7,,4.5,2.5,,,N,없음,,,,1995-01-01, ,양호,제한없음,논슬립 설치(2021년),정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
목포역철도육교,시도,1번,호남선,전라남도 목포시 영산로 154-1,34.796162,126.388415,181,,,9,2.5,,,N,없음,,,,1990-01-01, ,양호,제한없음,"도장(2020년), 배수로 정비(2022년)",정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
석현구검문소육교,시도,2번,호남선,전라남도 목포시 녹색로 1,34.8249725,126.4232524,83,5.2,,4.8,3,,,N,없음,,,,1998-01-01, ,양호,제한없음,도장공사+미끄럼 방지(2018년),정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
광산가든육교,시도,1번,호남선,전라남도 목포시 영산로 820,34.8365331,126.4210149,40.7,5.1,,4.8,3,,,N,없음,,,,1998-01-01, ,양호,제한없음,철거 예정(2023년도),정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
하당우미아파트 육교,시도,1번,호남선,전라남도 목포시 백년대로 10,34.798522,126.390636,42.1,5.2,,5,4,,,N,없음,,,,1999-12-06, ,양호,제한없음,논슬립 설치(2021년),정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
하당롯데마트육교,시도,1번,호남선,전라남도 목포시 통일대로 60,34.799436,126.431265,43,5.1,,4.5,3.5,,,N,없음,,,,2002-06-30, ,양호,제한없음,난간 정비(2021년),정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
산정동동초등교육교,시도,1번,호남선,전라남도 목포시 산정로 242,34.809346,126.388639,15.6,5.9,,4.2,3,,,N,없음,,,,2004-01-01, ,양호,제한없음,,정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
문화예술회관육교,시도,1번,호남선,전라남도 목포시 남농로 95,34.7926162,126.4178012,70,4.5,,4.5,4.6,,,Y,경사로,,,,2008-01-01, ,양호,제한없음,"계단 및 논슬립 설치(2021년), 난간 정비(2021년)",정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
옥암자전거육교,시도,2번,호남선,전라남도 목포시 남악로 22-14,34.8022406,126.4398618,257,6.2,,5,4,,,Y,경사로,,,,, ,양호,제한없음,난간 및 육교 상판 정비(2019년),정기점검,2022-11-01,전라남도 목포시청,2022-11-17,4800000,전라남도 목포시
규암농협 앞,기타,1-1호선,계백로,충청남도 부여군 규암면 계백로,36.275918,126.887753,33.9,5.2,,5,3.3,1.3,12,N,없음,,,,1994-11-29,N,보통,제한없음,,정기점검,2020-05-17,충청남도 부여군청,2022-11-16,4570000,충청남도 부여군
